Respondent_ID,Region,Study_Level,Time_In_Sweden,Age_Group,English_Fluency,Swedish_Fluency,Collectivism_Individualism,Time_Orientation,Risk_Taking,Phishing_Knowledge,Malware_Knowledge,2FA_Knowledge,VPN_Knowledge,Password_Knowledge,Cybersecurity_Learning_Sources,Security_Incidents,Password_Management_Methods,Same_Password_Usage,2FA_Usage,Main_Barriers,Language_Barriers_Impact,Cultural_Differences_Impact,Limited_Technical_Knowledge_Impact,Time_Constraints_Impact,Low_Risk_Perception_Impact,Culture_Influence_On_Security,Phishing_Scenario_Correct,Phishing_Confidence,Secure_Password_Confidence,WiFi_Security_Confidence,Fraudulent_Website_Recognition_Confidence,Personal_Info_Judgment_Confidence,Response_Strategies
1,East Asia,Master's,6-12 months,23-26,3,1,Highly collectivistic group interests above individual,Highly long-term oriented emphasizing patience and future planning,Highly risk-averse emphasizing safety and stability,2,3,2,2,3,"University-provided training/workshops,Online tutorials/videos,Resources in my native language",Phishing attempt(s),"Browser's built-in password saving feature,Written on paper",Most accounts (60-89%),"Email,Banking/financial accounts","Language barriers,Technical terminology,Lack of resources in my native language",5,4,4,3,3,"In my culture we tend to have higher trust in strangers,My cultural background emphasizes respect for authority",3,2,3,2,2,3,"Proactively seek professional help,Ask friends or classmates with technical backgrounds,Completely avoid uncertain digital services or platforms"
2,South/Southeast Asia,Doctoral,1-2 years,27-30,4,2,Leaning toward collectivism but valuing individual differences,Leaning toward long-term considerations but also valuing current needs,Neutral attitude depends on the situation,3,3,2,3,4,"Online tutorials/videos,Social media,Resources in my native language","Phishing attempt(s),Device infected with malware/virus","Password manager software,Browser's built-in password saving feature",Some accounts (10-39%),"Banking/financial accounts,University accounts","Technical terminology,Unfamiliarity with local laws and regulations",4,3,4,2,3,"My cultural background emphasizes respect for authority,My culture values personal privacy",4,3,4,3,3,4,"Take preventive measures,Use specialized tools,Report suspicious activities to relevant authorities"
3,Middle East,Master's,Less than 6 months,23-26,3,1,Highly collectivistic group interests above individual,Balanced time perspective considering both short and long-term,Relatively cautious leaning toward safer choices,2,2,2,1,2,"Online tutorials/videos,News media,Advice from friends/classmates","Unauthorized access to your account(s),Personal information breach,Phishing attempt(s)","Written on paper,Memorization only",All or almost all accounts (90-100%),None of my accounts use two-factor authentication,"Language barriers,Technical terminology,Differences between cybersecurity practices in home country vs. host country",5,4,5,3,2,"My cultural background emphasizes respect for authority,In my culture technology use is relatively limited",2,2,2,1,2,3,"Ask friends or classmates with technical backgrounds,Use online resources to teach myself solutions"
4,Europe,Exchange student,Less than 6 months,18-22,4,2,Leaning toward individualism but respecting group decisions,Leaning toward short-term thinking but with some long-term planning,Relatively encouraging of moderate risks,4,3,3,3,4,"University-provided training/workshops,Online tutorials/videos,Cybersecurity websites","Social media account compromise,Online scam/fraud","Password manager software,Browser's built-in password saving feature",Some accounts (10-39%),"Email,Banking/financial accounts,Social media","Technical terminology,Unfamiliarity with local laws and regulations",2,2,3,4,3,"My cultural background embraces technology,I haven't noticed any significant influence of my cultural background",4,4,3,4,4,4,"Proactively seek professional help,Take preventive measures,Use specialized tools"
5,Africa,Undergraduate,6-12 months,18-22,3,1,Highly collectivistic group interests above individual,Highly long-term oriented emphasizing patience and future planning,Neutral attitude depends on the situation,2,2,1,1,2,"Social media,Advice from friends/classmates",None of the above,"Written on paper,Memorization only",Most accounts (60-89%),I'm not familiar with two-factor authentication,"Language barriers,Lack of resources in my native language,Lack of guidance specifically for international students",4,3,5,4,2,"In my culture we tend to have higher trust in strangers,In my culture technology use is relatively limited",1,2,1,2,2,2,"Ask friends or classmates with technical backgrounds,Completely avoid uncertain digital services or platforms"
6,North America,Doctoral,2-3 years,31-35,5,3,Highly individualistic personal choices above group expectations,Balanced time perspective considering both short and long-term,Highly encouraging of risk-taking and innovation,5,5,5,4,5,"University-provided training/workshops,Online tutorials/videos,Cybersecurity websites",None of the above,"Password manager software,Browser's built-in password saving feature",Few or no accounts (0-9%),"Email,Banking/financial accounts,Social media,University accounts,Cloud storage",Lack of guidance specifically for international students,1,2,1,3,2,"My culture values personal privacy,My cultural background embraces technology",5,5,5,4,5,5,"Proactively seek professional help,Take preventive measures,Use specialized tools,Report suspicious activities to relevant authorities"
7,East Asia,Undergraduate,Less than 6 months,18-22,2,1,Highly collectivistic group interests above individual,Highly long-term oriented emphasizing patience and future planning,Highly risk-averse emphasizing safety and stability,1,1,1,1,2,"Resources in my native language,I don't actively seek cybersecurity information","Phishing attempt(s),Online scam/fraud","Browser's built-in password saving feature,Written on paper",All or almost all accounts (90-100%),I'm not familiar with two-factor authentication,"Language barriers,Technical terminology,Lack of resources in my native language",5,4,5,3,4,"In my culture we tend to have higher trust in strangers,My cultural background emphasizes respect for authority",1,1,2,1,2,2,"Ask friends from my home country/region,Contact family members"
8,Latin America/Caribbean,Master's,1-2 years,23-26,4,2,Balanced collective and individual values,Highly short-term oriented focused on immediate results and satisfaction,Relatively encouraging of moderate risks,3,3,2,2,3,"Online tutorials/videos,Social media,Advice from friends/classmates","Personal information breach,Social media account compromise","Memorization only,Browser's built-in password saving feature",About half of my accounts (40-59%),"Email,Social media","Language barriers,Technical terminology",3,2,3,4,3,"My culture values personal privacy,In my culture we tend to have higher trust in strangers",3,3,2,2,3,3,"Ask friends or classmates with technical backgrounds,Use online resources to teach myself solutions,Take preventive measures"
9,Oceania,Exchange student,Less than 6 months,18-22,5,1,Leaning toward individualism but respecting group decisions,Leaning toward short-term thinking but with some long-term planning,Highly encouraging of risk-taking and innovation,4,3,4,3,4,"University-provided training/workshops,Online tutorials/videos",None of the above,"Password manager software,Browser's built-in password saving feature",Some accounts (10-39%),"Email,Banking/financial accounts,University accounts",Technical terminology,2,1,2,3,2,"My culture values personal privacy,My cultural background embraces technology",4,4,4,3,4,4,"Proactively seek professional help,Take preventive measures,Use specialized tools"
10,South/Southeast Asia,Master's,6-12 months,23-26,3,1,Leaning toward collectivism but valuing individual differences,Balanced time perspective considering both short and long-term,Relatively cautious leaning toward safer choices,2,3,2,2,3,"Online tutorials/videos,Resources in my native language,Advice from friends/classmates","Phishing attempt(s),Online scam/fraud","Browser's built-in password saving feature,Saved in a digital document/file",Most accounts (60-89%),"Banking/financial accounts,University accounts","Language barriers,Technical terminology,Lack of resources in my native language",4,3,4,2,3,"In my culture we tend to have higher trust in strangers,My cultural background emphasizes respect for authority",2,2,3,2,2,3,"Ask friends or classmates with technical backgrounds,Contact university IT support,Use online resources to teach myself solutions"
11,Europe,Doctoral,More than 3 years,27-30,5,4,Leaning toward individualism but respecting group decisions,Balanced time perspective considering both short and long-term,Neutral attitude depends on the situation,5,4,5,4,5,"University-provided training/workshops,Cybersecurity websites,Online tutorials/videos",None of the above,"Password manager software,Browser's built-in password saving feature",Few or no accounts (0-9%),"Email,Banking/financial accounts,Social media,University accounts,Cloud storage",None of the above,1,1,1,3,1,"My culture values personal privacy,My cultural background embraces technology",5,5,4,5,5,5,"Proactively seek professional help,Take preventive measures,Use specialized tools,Report suspicious activities to relevant authorities"
